smiles,150-10,200-10,300-10,150-20,200-20,300-20
O=C(N(OC(C1CC1)=O)C2=O)C3=C2C=CC=C3,0.95,0.95,0.91,0.96,0.95,0.91
O=C(N(OC(C12CC3CC(CC(C2)C3)C1)=O)C4=O)C5=C4C=CC=C5,1.00,1.00,1.00,1.00,1.00,1.00
O=C(N(OC(C1CCCCC1)=O)C2=O)C3=C2C=CC=C3,0.98,0.98,0.97,0.98,0.98,0.97
[O-][N+](=O)c1ccc(Cl)cc1,0.31,0.21,0.14,0.26,0.32,0.35
Nc1ccncc1,0.26,0.23,0.21,0.27,0.23,0.19
O=[N+](C1=CC=C(Cl)C=C1)[O-],0.17,0.20,0.17,0.29,0.34,0.35
OC1=CC=C([N+]([O-])=O)C=C1,0.27,0.25,0.22,0.44,0.36,0.36
COc1ccc(cc1)[N+]([O-])=O,0.07,0.05,0.09,0.19,0.25,0.28
O=C(O)C1=CC=C(C(O)=O)C=C1,0.93,0.93,0.93,0.94,0.94,0.94
C1N2CN3CN1CN(C2)C3,0.91,0.98,0.96,0.95,0.99,0.97
NC1=CC(OC)=CC(OC)=C1,0.44,0.42,0.53,0.62,0.60,0.63
CC(C)(C)OC(=O)N1CCC(C1)O,0.92,0.91,0.93,0.94,0.92,0.95
C(OCc1ccccc1)c2ccccc2,0.46,0.33,0.50,0.50,0.32,0.46
O=C(C)NC1=CC=C(O)C=C1,0.58,0.52,0.59,0.68,0.67,0.69
OC1=CC=C(NC(C)=O)C=C1,0.65,0.54,0.67,0.77,0.67,0.78
OC1=CC=C(NC(C)=O)C=C1,0.82,0.83,0.80,0.86,0.86,0.84
COC1=CC=C(Br)C=C1,0.30,0.24,0.19,0.35,0.36,0.28
NC1=CC=C(OC)C=C1,0.62,0.63,0.48,0.60,0.66,0.51
NC1=CC=C(OC)C=C1,0.45,0.50,0.50,0.54,0.59,0.60
Nc1ccc(Br)cc1,0.08,0.10,0.07,0.35,0.37,0.34
C1=CC(=CC=C1N)Br,0.13,0.03,0.10,0.15,0.09,0.08
NC1=C(C(S(O)(=O)=O)=CC2=C1C(O)=C(C(S(O)(=O)=O)=C2)/N=N/C3=CC=CC=C3)/N=N/C4=CC=C(C=C4)[N+]([O-])=O,1.00,1.00,1.00,1.00,1.00,1.00
NC1=CC=C(Cl)C=C1,0.18,0.18,0.14,0.31,0.22,0.24
CC(=O)C1=CC=CN1,0.31,0.26,0.39,0.21,0.24,0.32
C1=CC2=C(C=C1N)NC(=O)N2,0.79,0.78,0.78,0.83,0.80,0.78
CC1=CC(Br)=C(C)C=C1Br,0.68,0.68,0.71,0.77,0.78,0.79
CC1=CC(Br)=C(C)C=C1Br,0.81,0.82,0.86,0.83,0.86,0.89
CC(C)(C)C(CCC1=CC=C(C=C1)Cl)(CN2C=NC=N2)O,1.00,1.00,1.00,0.99,1.00,1.00
CC1=CC(O)=CC=C1,1.00,1.00,1.00,1.00,1.00,1.00
CC1=CC(O)=CC=C1,0.92,0.91,0.78,0.89,0.89,0.75
CC1=NC(C)=CC=C1,0.54,0.40,0.55,0.68,0.55,0.70
C1=C(C=C(C=C1Cl)Cl)Cl,0.56,0.52,0.52,0.67,0.62,0.59
Oc1cc(O)cc(O)c1,0.78,0.80,0.83,0.88,0.87,0.89
Brc1ccccc1,0.04,0.04,0.10,0.13,0.12,0.14
C1=C(OC(=C1)C=O)C=O,0.49,0.38,0.49,0.61,0.48,0.60
CC1=NC=CC=C1,0.32,0.26,0.24,0.30,0.20,0.18
FC(F)(F)C(C1=CC=C(C=C1)N)(C2=CC=C(C=C2)N)C(F)(F)F,0.79,0.77,0.79,0.84,0.82,0.84
CN(C)C(=N)N=C(N)N,0.77,0.76,0.78,0.84,0.85,0.85
C1=CC2=C(C=CN2)C(=C1)O,0.56,0.52,0.50,0.62,0.59,0.53
C1CSC(=NC#N)N1CC2=CN=C(C=C2)Cl,0.94,0.93,0.88,0.96,0.95,0.89
CC1=C(N=C(C(=N1)C)C)C,0.84,0.78,0.76,0.86,0.77,0.70
CCCCCCCCC=CCCCCCCCCN,0.94,0.91,0.93,0.95,0.92,0.93
CC(=O)C1=NC(=CC=C1)C(=O)C,0.75,0.75,0.84,0.84,0.85,0.90
C1=CC2=C(C=CN2)C=C1O,0.43,0.40,0.38,0.49,0.43,0.38
CC1=CC(C2=NC=CC(C)=C2)=NC=C1,0.88,0.87,0.91,0.91,0.93,0.94
CC(=O)C1=CC(=C(C(=C1)OC)OC)OC,0.85,0.85,0.85,0.91,0.91,0.89
OCC1=C(N=C(N1CC2=CC=C(C3=C(C4=NN=NN4)C=CC=C3)C=C2)CCCC)Cl,1.00,1.00,1.00,1.00,1.00,1.00
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1,1.00,1.00,1.00,1.00,1.00,1.00
C1=CC2=C(C=CC(=C2)N)C=C1C(=O)O,0.93,0.93,0.97,0.94,0.94,0.97
FC(F)(F)C(C1=CC=C(C=C1)C(O)=O)(C2=CC=C(C=C2)C(O)=O)C(F)(F)F,1.00,1.00,1.00,1.00,1.00,1.00
Nc1ccc(-c2cc(-c3ccc(N)cc3)cc(-c3ccc(N)cc3)c2)cc1,1.00,1.00,1.00,1.00,1.00,1.00
NC1=CC=CC=C1C(O)=O,0.68,0.69,0.71,0.72,0.75,0.75
OC(=O)c1ccccc1SSc2ccccc2C(O)=O,0.99,0.99,0.99,0.99,0.99,0.99
C1=CC(=C(C=C1Cl)Cl)Cl,0.30,0.18,0.30,0.42,0.27,0.39
C1=CC(=C(C=C1[N+](=O)[O-])O)N,0.51,0.53,0.66,0.56,0.62,0.71
C1(NC2=CC=CC=C2)=CC=CC=C1,0.61,0.56,0.55,0.53,0.46,0.41
CCOC1=CC=C(C=C1)OCC,0.47,0.40,0.40,0.54,0.47,0.42
CCOC1=CC=C(OCC)C=C1,0.56,0.58,0.63,0.61,0.63,0.69
O=CC1=CC=C(O)C=C1,0.46,0.40,0.45,0.50,0.45,0.47
OC1=CC=C(N)C=C1,0.18,0.19,0.12,0.28,0.25,0.11
OCC1=C(Cl)N=C(CCCC)N1CC2=CC=C(C=C2)C3=C(C=CC=C3)C4=NN=NN4,0.98,0.98,0.98,0.95,0.95,0.95
C1=C(SC(=C1)C=O)C=O,0.40,0.31,0.41,0.52,0.39,0.52
O=C(OC)C1=CC(O)=CC(C(OC)=O)=C1,0.93,0.92,0.94,0.95,0.93,0.95
OC1=C([N+]([O-])=O)C=CC=C1Br,0.39,0.30,0.07,0.24,0.18,0.04
NC(C1=CC=CC=C12)=C(C)C=C2C3=CC(C)=C(N)C4=CC=CC=C34,1.00,1.00,1.00,1.00,1.00,1.00
N[C@@H](C1=CC=C(OC)C=C1)C,0.73,0.68,0.68,0.77,0.68,0.69
COC1=CC(=C(C=C1)C(=O)C2=CC=CC=C2)O,0.89,0.89,0.87,0.93,0.90,0.89
O=C(C1=CC=CC=C1)C2=CC=C(OC)C=C2O,0.57,0.35,0.54,0.58,0.40,0.40
CC(=NC#N)N(C)CC1=CN=C(C=C1)Cl,0.82,0.80,0.84,0.85,0.85,0.86
CCN(CC)C(C1=CC=CC(C(N(CC)CC)=O)=C1)=O,1.00,0.99,1.00,1.00,1.00,1.00
N#CC1=CC(Cl)=C(Cl)C=C1C#N,0.85,0.81,0.78,0.83,0.78,0.71
C1=CC=C(C=C1)OC2=CC=C(C=C2)N,0.42,0.20,0.35,0.46,0.30,0.26
COc1ncc(Br)cn1,0.33,0.24,0.16,0.28,0.34,0.35
ClC1=NN=C(Cl)C=C1,0.12,0.12,0.10,0.21,0.19,0.15
NC1=CC=CC(N)=N1,0.50,0.53,0.58,0.61,0.64,0.71
O=CC1=CC=C(C=O)C=C1,0.48,0.37,0.49,0.59,0.46,0.60
O=C1C2=C(C3=C1C=C(Br)C=C3)C=CC(Br)=C2,0.75,0.71,0.77,0.79,0.75,0.81
OCc1c2ccccc2cc3ccccc13,0.89,0.90,0.92,0.94,0.94,0.95
CCN(C1=CC2=C(C=C1C3=O)OCO2)C=C3C(O)=O,0.97,0.98,0.99,0.97,0.99,0.99
OC1=CC(Br)=C(O)C=C1Br,0.62,0.61,0.66,0.72,0.74,0.76
FC(F)(F)C(C1=CC=C(O)C=C1)(C2=CC=C(O)C=C2)C(F)(F)F,0.99,0.99,0.99,1.00,1.00,0.99
Nc1ccc(cc1)C(O)=O,0.72,0.73,0.75,0.86,0.85,0.85
COc1ccc(O)cc1,0.21,0.18,0.17,0.28,0.27,0.21
COC1=CC=C(C=C1)OC,0.18,0.14,0.11,0.24,0.16,0.08
COC1=CC=C(OC)C=C1,0.19,0.26,0.26,0.30,0.39,0.35
OC(CC1=C(C=CC=C1)NC2=C(C=CC=C2Cl)Cl)=O,0.99,0.99,0.99,1.00,0.99,0.99
BrCC1=C(CBr)C=C(CBr)C(CBr)=C1,0.99,0.98,0.96,0.98,0.97,0.95
